ID1,ID2,EdgeType,Score,Annotation
339,12442,MS1 annotation,5.500,[M+H]+ [M-H2O+H]+ dm/z=18.0107
339,12441,MS1 annotation,5.500,[M+H]+ [M-H2O+H]+ dm/z=18.0106
356,12446,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
391,410,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0004
391,10541,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
391,678,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
391,788,MS1 annotation,10.000,[M+Na]+ [M+NH4]+ dm/z=4.9566
410,10541,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0003
410,678,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0004
410,788,MS1 annotation,10.000,[M+Na]+ [M+NH4]+ dm/z=4.9562
419,442,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9929
428,877,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9793
428,8488,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9789
428,2361,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9791
428,460,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0021
428,611,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0002
431,671,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
435,589,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
454,511,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9823
454,578,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9827
460,877,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9772
460,8488,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9768
460,2361,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9770
460,611,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0019
475,592,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
502,11276,MS1 annotation,9.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9921
502,1099,MS1 annotation,9.000,[M+K]+ [M+Na]+ dm/z=15.9735
502,1983,MS1 annotation,9.000,[M+Na]+ [M+Na]+ dm/z=0.0002
502,10135,MS1 annotation,9.500,[2M+Na]+ [M+Na]+ dm/z=380.2943
502,1150,MS1 annotation,9.000,[M+H]+ [M+Na]+ dm/z=21.9822
502,995,MS1 annotation,9.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
502,1071,MS1 annotation,9.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
503,507,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9809
503,12440,MS1 annotation,5.000,[2M+H]+ [M+Na]+ dm/z=691.5583
503,8544,MS1 annotation,5.500,[2M+Na]+ [M+Na]+ dm/z=713.5384
503,509,MS1 annotation,5.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9926
507,8544,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=735.5194
507,12440,MS1 annotation,5.000,[2M+H]+ [M+H]+ dm/z=713.5392
507,509,MS1 annotation,5.000,[M-H2O+H]+ [M+H]+ dm/z=18.0117
509,8544,MS1 annotation,5.500,[2M+Na]+ [M-H2O+H]+ dm/z=753.5310
509,12440,MS1 annotation,5.000,[2M+H]+ [M-H2O+H]+ dm/z=731.5509
511,578,MS1 annotation,4.000,[M+H]+ [M+H]+ dm/z=0.0004
518,6363,MS1 annotation,5.500,[2M+Na]+ [M+Na]+ dm/z=375.2510
518,6322,MS1 annotation,5.500,[2M+NH4]+ [M+Na]+ dm/z=370.2963
560,9902,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9743
560,2027,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9826
560,4856,MS1 annotation,5.500,[2M+Na]+ [M+Na]+ dm/z=354.2761
560,2318,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9932
564,569,MS1 annotation,6.000,[M+H]+ [M+Na]+ dm/z=21.9812
564,574,MS1 annotation,6.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9890
564,10796,MS1 annotation,6.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9889
564,12444,MS1 annotation,6.000,[2M+H]+ [M+Na]+ dm/z=691.5582
564,8600,MS1 annotation,6.500,[2M+Na]+ [M+Na]+ dm/z=713.5382
569,574,MS1 annotation,6.000,[M-H2O+H]+ [M+H]+ dm/z=18.0078
569,10796,MS1 annotation,6.000,[M-H2O+H]+ [M+H]+ dm/z=18.0078
569,12444,MS1 annotation,6.000,[2M+H]+ [M+H]+ dm/z=713.5394
569,8600,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=735.5193
574,10796,MS1 annotation,6.000,[M-H2O+H]+ [M-H2O+H]+ dm/z=0.0001
574,12444,MS1 annotation,6.000,[2M+H]+ [M-H2O+H]+ dm/z=731.5472
594,8620,MS1 annotation,3.500,[2M+Na]+ [M+Na]+ dm/z=380.2927
594,1457,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9928
611,877,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9791
611,8488,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9787
611,2361,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9789
660,7028,MS1 annotation,3.500,[2M+Na]+ [M+Na]+ dm/z=390.2751
678,10541,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
678,788,MS1 annotation,10.000,[M+Na]+ [M+NH4]+ dm/z=4.9566
691,1251,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9815
691,1545,MS1 annotation,4.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0027
691,1332,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9920
692,1336,MS1 annotation,5.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0038
692,1275,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9931
692,695,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0008
