"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"sample"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"isotopes"	"adduct"	"pcgroup"
"73"	107.013852336184	107.01300917691	107.015154119166	628.799499511719	611.242126464844	668.80517578125	19	19	28550.3797500001	35102.6491249999	32006.0160000003	34647.7614000003	35956.0426666665	27901.8087500001	29455.2429	32693.0459999998	27233.4162222222	29225.1277500003	NA	29584.6400000001	29377.7455555554	34198.4240000001	33621.103	NA	32596.7589999999	NA	25710.7968000002	30112.8494545452	26629.0919999997	27010.5718181819	""	""	"115"
"80"	109.019314094863	109.018513859256	109.020265500375	628.799499511719	611.242126464844	668.80517578125	19	19	101594.282222222	128470.7091	118977.382222223	122035.943400001	139849.909333333	101040.854222222	105826.54911111	112829.947999999	100237.7388	102888.555666667	NA	108201.605555556	106458.393333333	120813.628	117633.914444445	NA	110740.059	NA	101447.797727274	112073.1144	101080.650818182	97486.1079000008	""	""	"115"
"84"	109.51578996779	109.515053592723	109.51674460093	628.799499511719	611.242126464844	668.80517578125	19	19	504094.361777777	630911.729699999	579219.278000002	607576.061400005	660604.746666663	498356.432	516800.1539	546583.591999996	487686.0729	514899.926666669	NA	530113.03777778	527427.220555553	615116.372000001	577497.718777778	NA	547647.875400002	NA	493785.153000001	537685.228000001	473060.691599994	476410.317100004	""	""	"115"
"91"	111.020614281184	111.02001024434	111.021705071774	629.626953125	611.242126464844	685.622619628906	21	19	430829.024444443	473628.012599999	495893.725333335	466954.731600004	542956.341333331	430283.930666667	367781.1775	373281.531999998	333290.7381	465519.030000002	NA	433017.184444446	451302.737777776	496985.684000001	461975.651222223	NA	458766.099	NA	336511.9566	377601.214199999	354761.922899996	335493.279900003	"[5][M]2+"	""	"115"
"95"	111.520017999489	111.519459906804	111.520792904709	629.626953125	611.242126464844	668.80517578125	19	19	61545.6115555554	67685.2961111112	68320.0813333336	64924.8537777776	72529.1626666663	57720.5395555556	50480.7934	53164.7724999992	47867.2155000003	66295.3850000003	NA	61535.4844444446	58504.4277499997	67006.8087499994	66130.4543333334	NA	63014.193	NA	48410.0567272731	53410.245	50028.4161818181	47508.0490000002	"[5][M+1]2+"	""	"115"
"98"	112.519393871033	112.518855483099	112.520753926343	629.583435058594	611.242126464844	668.80517578125	19	19	28063.2115555555	29907.6893999999	29760.7071111112	28618.5824999996	31416.6019999998	25332.7414999999	22703.6809999998	21991.8501249997	21131.2160000001	29548.6480000001	NA	27875.5177777779	28420.6877777777	31467.7480000001	28933.3563750002	NA	27229.0844999998	NA	19645.6266	22615.3730000001	21924.3333333331	21066.8272000002	""	""	"115"
"110"	115.964236437029	115.96354237845	115.965239308336	628.799499511719	611.242126464844	668.80517578125	19	19	607399.966666665	624666.545699999	623335.806444447	635751.018000006	646883.850666663	597239.335111111	534181.7477	574695.282999996	545700.000000003	572627.553000002	NA	560344.133333335	594780.161666664	639370.680000001	631330.563333334	NA	627204.893400002	NA	545460.852600001	575902.286000001	536744.112545454	537471.309300005	""	""	"115"
"113"	116.971794010588	116.971113933653	116.972716444107	629.583435058594	611.242126464844	668.80517578125	19	19	291575.899999999	336758.502777778	308208.396666668	323309.687400003	341620.917333332	281966.665777778	271382.2812	286436.248999998	266180.048000002	281652.195000001	NA	282281.460000001	282548.989444443	321197.864000001	311961.367888889	NA	305285.931000001	NA	268785.822090911	275916.861199999	256061.882999997	259268.899100002	"[7][M]+"	""	"115"
"117"	117.523078111098	117.52233963124	117.523956845544	628.865325927734	610.390747070312	668.80517578125	20	19	135803.02	181374.6918	159164.250000001	159944.034600001	179075.2022	125999.530666667	149758.670181818	150335.855999999	132469.424000001	148126.712000001	NA	149588.7437	137783.287222222	166850.834400002	146179.940000001	NA	146946.9108	NA	131294.5362	144604.512499999	130544.361545454	131731.156363637	""	""	"115"
"118"	117.97866463605	117.958930001132	118.025920769887	629.818176269531	611.242126464844	695.548522949219	69	19	84431.4615000002	16322.6365714286	14946.5790000002	15803.1613333333	14529.0037499999	11775.1687142857	92065.4467	13752.4954285713	13760.9217	13363.5120000001	NA	14891.7966	85716.1008749996	102791.613749999	12435.7571666666	NA	13984.0648750001	NA	13228.6506666667	89585.3839999993	6870.04399999997	12681.9192500001	"[7][M+1]+"	""	"115"
"125"	118.520873853054	118.520269296525	118.521847506207	628.93115234375	610.390747070312	668.80517578125	19	19	56357.0909999998	77363.9909999998	64696.4780000003	68835.5850000006	75547.2639999996	53711.2311000002	62925.3425454544	66104.5619999996	58106.1360000003	61424.7580000002	NA	64526.6880999999	59417.932222222	65789.1882000006	61600.3650000004	NA	63275.4576000002	NA	58231.7652727278	61444.4055999999	55368.5306999993	58739.3209090911	""	""	"115"
"129"	119.517775355922	119.516940949481	119.518525370755	629.197448730469	611.242126464844	668.80517578125	20	19	14578.0733333333	21714.9992727271	15351.1791428573	17885.6248888888	19601.4820833334	11949.964	14122.9014545454	17033.0609999999	14661.8483333334	15762.8835000002	NA	14290.4238888889	15405.4425000001	17165.5210909092	15145.3450000001	NA	13816.8144	NA	14127.828	16724.4961874999	12923.8992499999	11891.0222222223	""	""	"115"
"132"	119.973918278796	119.957706796824	120.026734545726	629.523590087891	611.242126464844	668.80517578125	58	19	39188.9427142857	36709.9721999999	39069.4697777779	39776.7368888888	39685.0666666665	35972.0012500002	43255.2599999996	35246.7018749995	32627.2960000002	35709.9423333335	NA	32437.2685000001	17708.0924999997	47919.5762499996	38178.8035555556	NA	37753.2419999997	NA	110922.534	41867.0532000001	36230.3822222219	31835.3900000003	"[7][M+2]+"	""	"115"
